Message,Label,Type
Thank you for updating your profile. Your changes have been saved.,not phishing,SMS
Congratulations! You've won a prize. Claim now by providing your bank details.,phishing,SMS
Your recent transaction was successful. Thank you for banking with us.,not phishing,SMS
Unusual login attempt detected. Verify your account now to secure it.,phishing,SMS
Your e-statement for the month is now ready for viewing in your account.,not phishing,Email
Security Notice: Your account was accessed from a foreign device. Verify if this was you.,phishing,Email
You have a pending transaction. Confirm your details to complete it.,phishing,SMS
Unusual login attempt detected. Verify your account now to secure it.,phishing,SMS
We are here to assist you with any questions about your recent transaction.,not phishing,Email
We are here to support you. Reach out to us with any questions.,not phishing,SMS
Immediate action needed: Update your billing information.,phishing,SMS
Your bank account has been flagged for suspicious activity. Log in to secure.,phishing,SMS
We are here to support you. Reach out to us with any questions.,not phishing,SMS
Your recent deposit has been processed. Thank you for using our bank.,not phishing,Email
Thank you for updating your contact information with us.,not phishing,Email
Congratulations! You've won a prize. Claim now by providing your bank details.,phishing,SMS
"To secure your account, please confirm your details by clicking here.",phishing,Email
Thank you for choosing our banking services. Your account is secure with us.,not phishing,Email
Thank you for updating your contact information with us.,not phishing,Email
New login detected from an unknown device. Verify your identity now.,phishing,SMS
Your monthly statement is now available. Please review it at your convenience.,not phishing,Email
Warning: Your account may be at risk. Please confirm your banking details immediately.,phishing,Email
Unusual login attempt detected. Verify your account now to secure it.,phishing,SMS
Your account has been locked due to unusual activity. Click here to unlock it.,phishing,Email
"Dear customer, thank you for your recent transaction. Your new balance is now updated.",not phishing,Email
Reminder: Your loan payment is due in 5 days. Contact us if you have any questions.,not phishing,Email
You have a pending transaction. Confirm your details to complete it.,phishing,SMS
"Dear customer, thank you for your recent transaction. Your new balance is now updated.",not phishing,Email
Monthly statement: Your account balance is now available.,not phishing,SMS
Unusual login attempt detected. Verify your account now to secure it.,phishing,SMS
Your transaction was completed successfully. Your new balance is updated.,not phishing,Email
Your e-statement for this month is now available in your account.,not phishing,SMS
Your account has been compromised. Click here to verify your details.,phishing,SMS
We hope you are enjoying our services. Contact us if you need support.,not phishing,SMS
"Dear user, we noticed a new login from an unfamiliar location. Confirm it was you.",phishing,Email
Your recent transaction could not be completed. Please provide updated billing information.,phishing,Email
Your account balance summary for this month is now available for review.,not phishing,Email
"Dear customer, thank you for your recent transaction. Your new balance is now updated.",not phishing,Email
"Thank you for using our service. To continue, confirm your identity by logging in.",phishing,Email
Reminder: Your payment is due in 5 days. Thank you for your attention.,not phishing,SMS
Reminder: Your loan payment is due in 5 days. Contact us if you have any questions.,not phishing,Email
Action required: Confirm your account information to avoid service interruption.,phishing,SMS
Security Notice: Your account was accessed from a foreign device. Verify if this was you.,phishing,Email
Your bank account has been flagged for suspicious activity. Log in to secure.,phishing,SMS
Your recent deposit has been processed. Thank you for using our bank.,not phishing,Email
Your account has been compromised. Click here to verify your details.,phishing,SMS
"Dear customer, thank you for your recent transaction. Your new balance is now updated.",not phishing,Email
"Dear customer, thank you for your recent transaction. Your new balance is now updated.",not phishing,Email
Update your account information to avoid access restrictions.,phishing,SMS
Verify your account now to avoid unexpected charges.,phishing,Email
"Thank you for using our service. To continue, confirm your identity by logging in.",phishing,Email
Warning: Your account may be at risk. Please confirm your banking details immediately.,phishing,Email
"Dear customer, thank you for your recent transaction. Your new balance is now updated.",not phishing,Email
Your e-statement for this month is now available in your account.,not phishing,SMS
Congratulations! You've won a prize. Claim now by providing your bank details.,phishing,SMS
Your recent transaction could not be completed. Please provide updated billing information.,phishing,Email
Your transaction was completed successfully. Your new balance is updated.,not phishing,Email
Our records indicate a discrepancy in your account information. Update now to prevent account suspension.,phishing,Email
Your password needs to be updated due to a security issue. Log in to update it.,phishing,Email
Your scheduled transfer has been processed successfully.,not phishing,SMS
Thank you for updating your profile. Your changes have been saved.,not phishing,SMS
"Dear customer, thank you for your recent transaction. Your new balance is now updated.",not phishing,Email
Thank you for updating your contact information with us.,not phishing,Email
Congratulations! You've won a prize. Claim now by providing your bank details.,phishing,SMS
